tableName,dclMember,dclPath,qualifiedNameEsperado,programaCandidatoPrincipal,programasCandidatosSecundarios,clasificacionAudit,estadoAntes,estadoDespues,runIdReproceso
MATGAPR,ZMATGAPR,dcl/ZMATGAPR.dcl,MATGAPR,ZM2OGJ63,ZM2OH957;ZM2OHJ90,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
MCAPISR,ZMCAPISR,dcl/ZMCAPISR.dcl,MCAPISR,ZM4DH78E,ZM4DHB78;ZM4DLE16,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
MCCARAT,ZMCCARAT,dcl/ZMCCARAT.dcl,MCCARAT,ZM4DGJ31,ZM4DL89M;ZM4MGT89,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
MDDCART,ZMDDCART,dcl/ZMDDCART.dcl,MDDCART,ZM2ILD29,ZM2OGD46;ZM2OHC90;ZM2OLC90;ZM2OLD07;ZM2OLD26,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
MDINBMV,ZMDINBMV,dcl/ZMDINBMV.dcl,MDINBMV,ZM4DG003,,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
MENSAJE,ZMENSAJE,dcl/ZMENSAJE.dcl,MENSAJE,ZM2OGJ44,,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
MENTEXT,ZMENTEXT,dcl/ZMENTEXT.dcl,MENTEXT,ZM2OGJ44,,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
MOVFAX,ZMOVFAX,dcl/ZMOVFAX.dcl,MOVFAX,ZM2OG609,ZM2OKMA4;ZM2OU609;ZM2OUI29;ZM2OUK04;ZM2OUK05,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
MOVIND,ZMOVIND,dcl/ZMOVIND.dcl,MOVIND,ZM4DGF13,ZM4DGF26;ZM4DGU45;ZM4DJ002;ZM4DJ351,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
MSGERALT,ZMSGERAL,dcl/ZMSGERAL.dcl,DESARSVP.MSGERALT,ZM4DJ340,ZM9CD345;ZM9CX345,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
MTZDEM,ZMTZDEM,dcl/ZMTZDEM.dcl,MTZDEM,ZM2ILC68,ZM2ILC69;ZM2ILC70;ZM2ILC71;ZM2ILC72;ZM2ILC73,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
MTZINV,ZMTZINV,dcl/ZMTZINV.dcl,MTZINV,ZM2ILC91,ZM2ILH23;ZM2OLD03;ZM4DLD30;ZM4MUV01;ZM4VG002,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
ZMDTATE,ZMGTATE,dcl/ZMGTATE.dcl,ZMDTATE,ZM6RY200,,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
ZMDTCAR,ZMGTCAR,dcl/ZMGTCAR.dcl,ZMDTCAR,ZM2OJAB2,ZM4DJ026;ZM4DJ202;ZM4DJ203;ZM4MJ145;ZM4MJ170,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
ZMDTCAX,ZMGTCAX,dcl/ZMGTCAX.dcl,ZMDTCAX,ZM2OJAB2,ZM4DJ202;ZM6RG370;ZM6RG371;ZM6RJ374,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
ZMDTCTA,ZMGTCTA,dcl/ZMGTCTA.dcl,ZMDTCTA,ZM2OJAB2,ZM4DJ026;ZM4DJ202;ZM4DJ203;ZM4MJ145;ZM4OJ204,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
ZMDTCTH,ZMGTCTH,dcl/ZMGTCTH.dcl,ZMDTCTH,ZM4CTH00,ZM4CUIN2;ZM6CTH10;ZM9CTH10,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
ZMDTCTL,ZMGTCTL,dcl/ZMGTCTL.dcl,ZMDTCTL,ZM2OJ133,ZM4DJ202;ZM4DJ203;ZM4MJ145;ZM6RJ374,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
ZMDTOPE,ZMGTOPE,dcl/ZMGTOPE.dcl,ZMDTOPE,ZM4MJ170,,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
ZMDTOPS,ZMGTOPS,dcl/ZMGTOPS.dcl,ZMDTOPS,ZM2OJAB2,ZM4DJ026;ZM4DJ086;ZM4DJ202;ZM4DJ203;ZM4MJ170,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
ZMDTOPT,ZMGTOPT,dcl/ZMGTOPT.dcl,ZMDTOPT,ZM6RJ374,ZM6RY200,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
ZMDTSEH,ZMGTSEH,dcl/ZMGTSEH.dcl,ZMDTSEH,ZM4DJ202,ZM4DJ203,orphan_regenerable,legacy_partial_orphan,pending_dry_run,
