program	runId	decision	paragraphs	copybooks	externalRoutines	hasParagraphRels	includesCopybookRels	callsRoutineRels	usesCopybookRels	implementedByRels	dependsOnExternalRels	readsTableRels	updatesTableRels
CIB005D	e2e-20260618T205336Z-cib005d	BLOCKED	0	0	0	0	0	0	0	0	0	0	0
CIB013M	e2e-20260618T205338Z-cib013m	BLOCKED	0	0	0	0	0	0	0	0	0	0	0
CIB026B	e2e-20260618T205340Z-cib026b	BLOCKED	0	0	0	0	0	0	0	0	0	0	0
CIB045D	e2e-20260618T205342Z-cib045d	BLOCKED	0	0	0	0	0	0	0	0	0	0	0
CIB062D	e2e-20260618T205344Z-cib062d	BLOCKED	0	0	0	0	0	0	0	0	0	0	0
CIB063D	e2e-20260618T205347Z-cib063d	BLOCKED	0	0	0	0	0	0	0	0	0	0	0
CIB064D	e2e-20260618T205349Z-cib064d	BLOCKED	0	0	0	0	0	0	0	0	0	0	0
CIB065D	e2e-20260618T205351Z-cib065d	PASS	9	9	0	9	9	0	7	7	0	2	1
CIB116D	e2e-20260618T205417Z-cib116d	PASS	54	22	6	54	22	6	28	28	6	5	4
CIB118D	e2e-20260618T205444Z-cib118d	PASS	28	12	4	28	12	4	10	10	4	2	0
CIB119D	e2e-20260618T205511Z-cib119d	PASS	27	15	4	27	15	4	12	12	4	3	0
CIB120D	e2e-20260618T205538Z-cib120d	PASS	34	17	4	34	17	4	13	13	4	5	0
CIB121D	e2e-20260618T205605Z-cib121d	PASS	25	15	5	25	15	5	12	12	5	3	1
CIB122D	e2e-20260618T205632Z-cib122d	PASS	29	14	4	29	14	4	10	10	4	2	0
CIB123D	e2e-20260618T205700Z-cib123d	PASS	34	17	4	34	17	4	13	13	4	5	0
CIB124D	e2e-20260618T205727Z-cib124d	PASS	14	14	2	14	15	2	6	6	2	4	0
CIB125D	e2e-20260618T205753Z-cib125d	PASS	17	13	0	17	13	0	12	12	0	2	1
CIB126D	e2e-20260618T151439Z-cib126d-cib127d	BLOCKED	0	0	0	0	0	0	0	0	0	0	0
CIB128D	e2e-20260618T182344Z-cib128d	PASS	9	14	2	9	14	2	0	0	0	2	0
CIB129D	e2e-20260618T182837Z-cib129d	PASS	20	15	4	20	15	4	0	0	0	2	0
CIB130D	e2e-20260618T204142Z-cib130d	PASS	43	22	6	43	22	6	26	26	6	3	4
CIB138D	e2e-20260618T191557Z-cib138d	PASS	20	18	4	20	18	4	0	0	0	2	0
CIB139D	e2e-20260618T191921Z-cib139d	PASS	23	19	4	23	19	4	15	15	4	3	0
COB100E	e2e-20260618T173017Z-cob100e	PASS	7	10	0	7	10	0	0	0	0	1	1
ZM1MG406	e2e-20260618T205820Z-zm1mg406	PASS	6	24	0	6	24	0	16	16	7	1	0
ZM1MG549	e2e-20260618T151512Z-zm1mg549	BLOCKED	0	0	0	0	0	0	0	0	0	0	0
ZM2CFI01	e2e-20260618T205847Z-zm2cfi01	BLOCKED	0	0	0	0	0	0	0	0	0	0	0
ZM9RUS01	e2e-20260618T205849Z-zm9rus01	BLOCKED	0	0	0	0	0	0	0	0	0	0	0
