program	latestRunId	status	decision	precheck	commitExecuted	postMissingProps	postInvalidReview	postInvalidSummary	postMissingEvidence	postOntology
CIB005D	e2e-20260618T205336Z-cib005d	OK	BLOCKED	object	-	0	0	0	0	0
CIB009D	-	FAIL	-	-	-	-	-	-	-	ValueError: No PROCEDURE DIVISION found in /Users/xmk9539/Documents/Software/zm_cbop/src/CIB009D.cbl
CIB010D	-	FAIL	-	-	-	-	-	-	-	ValueError: No PROCEDURE DIVISION found in /Users/xmk9539/Documents/Software/zm_cbop/src/CIB010D.cbl
CIB012D	-	FAIL	-	-	-	-	-	-	-	ValueError: No PROCEDURE DIVISION found in /Users/xmk9539/Documents/Software/zm_cbop/src/CIB012D.cbl
CIB013M	e2e-20260618T205338Z-cib013m	OK	BLOCKED	object	-	0	0	0	0	0
CIB017D	-	FAIL	-	-	-	-	-	-	-	ValueError: No PROCEDURE DIVISION found in /Users/xmk9539/Documents/Software/zm_cbop/src/CIB017D.cbl
CIB026B	e2e-20260618T205340Z-cib026b	OK	BLOCKED	object	-	0	0	0	0	0
CIB028E	-	FAIL	-	-	-	-	-	-	-	ValueError: No PROCEDURE DIVISION found in /Users/xmk9539/Documents/Software/zm_cbop/src/CIB028E.cbl
CIB030E	-	FAIL	-	-	-	-	-	-	-	ValueError: No PROCEDURE DIVISION found in /Users/xmk9539/Documents/Software/zm_cbop/src/CIB030E.cbl
CIB035E	-	FAIL	-	-	-	-	-	-	-	ValueError: No PROCEDURE DIVISION found in /Users/xmk9539/Documents/Software/zm_cbop/src/CIB035E.cbl
CIB045D	e2e-20260618T205342Z-cib045d	OK	BLOCKED	object	-	0	0	0	0	0
CIB047E	-	FAIL	-	-	-	-	-	-	-	ValueError: No PROCEDURE DIVISION found in /Users/xmk9539/Documents/Software/zm_cbop/src/CIB047E.cbl
CIB062D	e2e-20260618T205344Z-cib062d	OK	BLOCKED	object	-	0	0	0	0	0
CIB063D	e2e-20260618T205347Z-cib063d	OK	BLOCKED	object	-	0	0	0	0	0
CIB064D	e2e-20260618T205349Z-cib064d	OK	BLOCKED	object	-	0	0	0	0	0
CIB065D	e2e-20260618T205351Z-cib065d	OK	PASS	object	true	0	0	0	0	0
CIB116D	e2e-20260618T205417Z-cib116d	OK	PASS	object	true	0	0	0	0	0
CIB117D	-	FAIL	-	-	-	-	-	-	-	ValueError: No PROCEDURE DIVISION found in /Users/xmk9539/Documents/Software/zm_cbop/src/CIB117D.cbl
CIB118D	e2e-20260618T205444Z-cib118d	OK	PASS	object	true	0	0	0	0	0
CIB119D	e2e-20260618T205511Z-cib119d	OK	PASS	object	true	0	0	0	0	0
CIB120D	e2e-20260618T205538Z-cib120d	OK	PASS	object	true	0	0	0	0	0
CIB121D	e2e-20260618T205605Z-cib121d	OK	PASS	object	true	0	0	0	0	0
CIB122D	e2e-20260618T205632Z-cib122d	OK	PASS	object	true	0	0	0	0	0
CIB123D	e2e-20260618T205700Z-cib123d	OK	PASS	object	true	0	0	0	0	0
CIB124D	e2e-20260618T205727Z-cib124d	OK	PASS	object	true	0	0	0	0	0
CIB125D	e2e-20260618T205753Z-cib125d	OK	PASS	object	true	0	0	0	0	0
CIB128D	e2e-20260618T182344Z-cib128d	OK	PASS	object	true	0	0	0	0	0
CIB129D	e2e-20260618T182837Z-cib129d	OK	PASS	object	true	0	0	0	0	0
CIB130D	e2e-20260618T204142Z-cib130d	OK	PASS	object	true	0	0	0	0	0
CIB138D	e2e-20260618T191557Z-cib138d	OK	PASS	object	true	0	0	0	0	0
CIB139D	e2e-20260618T191921Z-cib139d	OK	PASS	object	true	0	0	0	0	0
COB100E	e2e-20260618T173017Z-cob100e	OK	PASS	object	true	0	0	0	0	0
ZM1MG406	e2e-20260618T205820Z-zm1mg406	OK	PASS	object	true	0	0	0	0	0
ZM2CFI01	e2e-20260618T205847Z-zm2cfi01	OK	BLOCKED	object	-	0	0	0	0	0
ZM9RUS01	e2e-20260618T205849Z-zm9rus01	OK	BLOCKED	object	-	0	0	0	0	0
